Gene,delta_correlation,Cancer
ABHD17B,0.20117044365923006,CCRCC
ABHD18,-0.557328226069535,CCRCC
ABHD3,0.4163429768244604,CCRCC
ABHD4,0.1348039867317105,CCRCC
ABHD5,-0.05079632812038748,CCRCC
ABHD6,-0.029007129613668026,CCRCC
ABI1,-0.03405291458877773,CCRCC
ABI2,0.5474194672230903,CCRCC
ABI3,-0.04308451203892327,CCRCC
ABL1,0.25919753260460043,CCRCC
ABL2,0.14435496260194547,CCRCC
ABLIM1,0.19912318289582534,CCRCC
ABLIM2,-0.023749261580413905,CCRCC
ABLIM3,0.03729337440876568,CCRCC
ABO,-0.5651627099932159,CCRCC
ABR,-0.090652715015497,CCRCC
ABRACL,0.43467078488548744,CCRCC
ABT1,0.04778626537308031,CCRCC
ABTB1,-0.5902239410636954,CCRCC
ABTB2,0.22698202552428454,CCRCC
ACAA1,-0.41645752911862355,CCRCC
ACAA2,0.017769701797493376,CCRCC
ACACB,-0.32899759597434614,CCRCC
ACAD11,-0.018334007650813167,CCRCC
ACAD8,-0.2699108343746335,CCRCC
ACAD9,0.15168539697832023,CCRCC
ACADL,0.37890839039251206,CCRCC
ACADM,-0.29228636683082493,CCRCC
ACADS,-0.048291526127146156,CCRCC
ACADSB,-0.25142591452813245,CCRCC
ACADVL,0.035944822010265054,CCRCC
ACAN,-0.030834912250294555,CCRCC
ACAP1,0.11673231268327078,CCRCC
ACAP2,0.16044698759215426,CCRCC
ACAP3,0.2654705727664022,CCRCC
ACAT1,-0.21236453579264764,CCRCC
ACAT2,-0.05759071354636902,CCRCC
ACBD3,0.40323104331323134,CCRCC
ACBD4,-0.2712466064748906,CCRCC
ACBD5,-0.09005316894961313,CCRCC
ACBD6,0.4480631258466886,CCRCC
ACBD7,-0.37705761731469584,CCRCC
ACCS,-0.05943977796349473,CCRCC
ACD,-0.2762943945485742,CCRCC
ACE,-0.15247937217604512,CCRCC
ACE2,0.2897358432224731,CCRCC
ACIN1,0.07963079969953524,CCRCC
ACLY,0.3275218304535117,CCRCC
ACMSD,-0.14856743480130746,CCRCC
ACO1,-0.15943489873868655,CCRCC
ACO2,-0.04609424071386614,CCRCC
ACOT1,-0.30018417257489843,CCRCC
ACOT11,-0.01979293187413511,CCRCC
ACOT13,-0.559968547441675,CCRCC
ACOT2,-0.25330968092000716,CCRCC
ACOT4,0.04045174949956054,CCRCC
ACOT7,-0.10246827682703463,CCRCC
ACOT8,0.06903682792456989,CCRCC
ACOT9,0.13427614285172912,CCRCC
ACOX1,-0.3438675870802962,CCRCC
ACOX2,-0.6083854616807218,CCRCC
ACOX3,-0.17558459552710037,CCRCC
ACP1,-0.1001846692856844,CCRCC
ACP2,0.2898961870184682,CCRCC
ACP5,-0.137662177253568,CCRCC
ACP6,-0.34840960384507785,CCRCC
ACPP,-0.2568627677920876,CCRCC
ACSF2,-0.3874599180791241,CCRCC
ACSF3,0.08540741113297234,CCRCC
ACSL1,-0.10016108697482223,CCRCC
ACSL3,0.04594485528541187,CCRCC
ACSL4,0.07036529410150827,CCRCC
ACSL5,0.4302483913142688,CCRCC
ACSM2A,-0.22106399783720743,CCRCC
ACSM2B,-0.12423812517339938,CCRCC
ACSM3,-0.28584798630146857,CCRCC
ACSM4,0.1470101013543163,CCRCC
ACSM5,0.01750132412676464,CCRCC
ACSS1,-0.10690277188618547,CCRCC
ACSS2,0.5720867085237958,CCRCC
ACSS3,-0.04536703656570107,CCRCC
ACTA1,-0.10342405299465102,CCRCC
ACTA2,-0.014153623432435647,CCRCC
ACTB,-0.1529187724187917,CCRCC
ACTBL2,0.2173971549293237,CCRCC
ACTG1,-0.2651316913615117,CCRCC
ACTL6A,-0.25225592383034323,CCRCC
ACTL8,0.6776949533054338,CCRCC
ACTN1,0.1603861230986891,CCRCC
ACTN2,0.2192341771549596,CCRCC
ACTN4,-0.09206665538838857,CCRCC
ACTR10,0.3644135092689252,CCRCC
ACTR1A,0.3193773377717444,CCRCC
ACTR1B,0.23810945099040198,CCRCC
ACTR3,-0.20979120912886484,CCRCC
ACTR3B,0.208579567507506,CCRCC
ACTR5,0.2379191248422462,CCRCC
ACTR6,-0.10748228688583158,CCRCC
ACTR8,0.24608798778608063,CCRCC
ACTRT1,-0.0661986034330403,CCRCC
ACVR1,-0.11679831119089834,CCRCC
ACVR1B,0.39587594445284247,CCRCC
ACY1,-0.400866159543288,CCRCC
ACY3,0.0240070192434364,CCRCC
ACYP1,0.043085129415936896,CCRCC
ACYP2,0.27407850712885856,CCRCC
ADA,0.02965977722766977,CCRCC
ADAL,-0.10351678100289163,CCRCC
ADAM10,0.05283153801550876,CCRCC
ADAM15,0.02238895484651182,CCRCC
ADAM17,0.03031717148450097,CCRCC
ADAM22,0.1068377685493608,CCRCC
ADAM9,-0.1413414462883773,CCRCC
ADAMDEC1,0.39196941571476607,CCRCC
ADAMTS1,-0.4408942955592518,CCRCC
ADAMTS13,0.010905870340965323,CCRCC
ADAMTS15,0.3121331392706348,CCRCC
ADAMTS2,0.13657677610283037,CCRCC
ADAMTS5,0.14964599426154024,CCRCC
ADAMTS7,0.4284646554372625,CCRCC
ADAMTSL1,0.1575190569693214,CCRCC
ADAMTSL2,0.10247544786401203,CCRCC
ADAMTSL3,-0.1432568928747276,CCRCC
ADAMTSL4,0.1350596818237268,CCRCC
ADAMTSL5,0.09611136193405981,CCRCC
ADAP1,0.32300460295977973,CCRCC
ADAP2,0.04631686868651519,CCRCC
ADAR,0.20135067814406638,CCRCC
ADARB1,0.28357411434799007,CCRCC
ADAT1,0.20531711844659828,CCRCC
ADAT2,0.13995632437193656,CCRCC
ADAT3,0.3910442669553439,CCRCC
ADCK1,0.11220523015515688,CCRCC
ADCK5,-0.019668301953002745,CCRCC
ADCY5,0.008023719512496363,CCRCC
ADCY6,0.27729919982657486,CCRCC
ADCY9,-0.23741472265981817,CCRCC
ADD1,-0.08163825710196787,CCRCC
ADD2,0.38753648607759505,CCRCC
ADD3,-0.240720468175125,CCRCC
ADGRA2,0.2817554813525289,CCRCC
ADGRE2,-0.14342917377057474,CCRCC
ADGRE5,-0.1646829093222021,CCRCC
ADGRF1,-0.3172465048571892,CCRCC
ADGRF5,0.2623263160663124,CCRCC
ADGRG1,-0.31765638464363144,CCRCC
ADGRG6,0.7649730326443153,CCRCC
ADGRL2,0.29965222540930775,CCRCC
ADGRL4,0.04039993542982445,CCRCC
ADGRV1,0.08182893181718605,CCRCC
ADH1A,-0.1085246284476234,CCRCC
ADH1B,0.03221063126787038,CCRCC
ADH1C,-0.18113058002512905,CCRCC
ADH4,-0.32782593685271955,CCRCC
ADH5,0.03528657673068136,CCRCC
ADH6,-0.33222532075295014,CCRCC
ADHFE1,-0.3385119188167678,CCRCC
ADI1,-0.14133090989383112,CCRCC
ADIPOQ,-0.08566014650589043,CCRCC
ADIPOR1,-0.4615315351363818,CCRCC
ADIRF,0.10680047025226636,CCRCC
ADK,0.05597039707261209,CCRCC
ADNP,0.3500899365479601,CCRCC
ADNP2,0.07530329291648374,CCRCC
ADO,0.1566353826832734,CCRCC
ADPGK,0.014424320758772868,CCRCC
ADPRH,-0.13777470265721148,CCRCC
ADPRHL2,0.45484689339900086,CCRCC
ADPRM,-0.010557367573190757,CCRCC
ADRA2A,-0.26617656349075935,CCRCC
ADRM1,0.13091808837445668,CCRCC
ADSL,0.3029393030942804,CCRCC
ADSS,0.17261358562093315,CCRCC
ADSSL1,0.03383278031267056,CCRCC
AEBP1,-0.2570520730726555,CCRCC
AES,-0.14105015821505829,CCRCC
AFAP1,0.23168450150868602,CCRCC
AFAP1L1,0.6927132931998924,CCRCC
AFAP1L2,-0.14989769409211973,CCRCC
AFDN,0.12679633764841078,CCRCC
AFF1,0.5573757996135528,CCRCC
AFF4,0.28334665520634644,CCRCC
AFG3L2,-0.18148659541308143,CCRCC
AFM,0.12382431176448655,CCRCC
AFMID,-0.3592276961839293,CCRCC
AFTPH,0.149991733568002,CCRCC
AGA,0.38465497078223143,CCRCC
AGAP1,0.013910637941287773,CCRCC
AGAP3,0.32568123271986604,CCRCC
AGFG1,0.06451060877309733,CCRCC
AGFG2,-0.0012985293996684577,CCRCC
AGGF1,-0.09717299905188581,CCRCC
AGK,-0.1735918896982946,CCRCC
AGL,-0.04147912605837967,CCRCC
AGMAT,-0.32151502032705254,CCRCC
AGO1,0.45535250858073784,CCRCC
AGO2,0.1501648474713078,CCRCC
AGO3,0.22985444835261826,CCRCC
AGPAT1,-0.1888392020155829,CCRCC
AGPAT2,-0.1851011085563774,CCRCC
AGPAT3,-0.16756576788492783,CCRCC
AGPAT4,-0.16505312129074057,CCRCC
AGPAT5,-0.25927666770486674,CCRCC
AGPS,0.033584801296816846,CCRCC
AGR2,-0.2891572703165466,CCRCC
AGR3,-0.29079941489971445,CCRCC
AGRN,-0.2670360540696891,CCRCC
AGT,0.08371329652689542,CCRCC
AGTPBP1,0.25161309374417623,CCRCC
AGXT,-0.7847496266351975,CCRCC
AGXT2,-0.024251570627703445,CCRCC
AHCTF1,0.14893375972645498,CCRCC
AHCY,-0.13337288475907852,CCRCC
AHCYL1,0.23961683579145038,CCRCC
AHCYL2,0.08261765465174714,CCRCC
AHDC1,-0.04947256945082906,CCRCC
AHNAK,0.03525799527805018,CCRCC
AHNAK2,0.6411494506639822,CCRCC
AHR,0.2496651576151132,CCRCC
AHSA1,0.4327864479874338,CCRCC
AHSG,-0.28289071978174674,CCRCC
AHSP,0.08089953006389833,CCRCC
AIDA,-0.3648160790104204,CCRCC
AIF1,-0.05408855936252421,CCRCC
AIF1L,-0.212066683002887,CCRCC
AIFM1,-0.06308852770448214,CCRCC
AIFM2,0.06450487693645918,CCRCC
AIG1,0.28361016880997586,CCRCC
AIMP1,0.4279979956133414,CCRCC
AIMP2,0.1261479243056574,CCRCC
AIP,0.2632941906137387,CCRCC
AJAP1,0.008531065044311226,CCRCC
AJUBA,0.036946698541401424,CCRCC
AK1,-0.3418564200753459,CCRCC
AK2,-0.42826597514719117,CCRCC
AK3,0.12756272304496075,CCRCC
AK4,-0.2945804562310306,CCRCC
AK6,0.30487060607382105,CCRCC
AK7,0.2617556999395834,CCRCC
AK9,-0.46613118326974623,CCRCC
AKAP1,-0.029318009329949768,CCRCC
AKAP10,0.38413240170814267,CCRCC
AKAP11,0.21196379342137056,CCRCC
AKAP12,0.10427464904742345,CCRCC
AKAP13,-0.0635604975626598,CCRCC
AKAP17A,0.6988172310433393,CCRCC
AKAP5,0.06904979287742646,CCRCC
AKAP7,0.30434826929931136,CCRCC
AKAP8,0.40770633123227756,CCRCC
AKAP8L,0.034375944565808336,CCRCC
AKAP9,-0.14002926243105995,CCRCC
AKNA,0.25256697587230814,CCRCC
AKR1A1,0.046900795042275956,CCRCC
AKR1B1,0.15176790833611176,CCRCC
AKR1B10,-0.05753484318856039,CCRCC
AKR1B15,0.21534164419691287,CCRCC
AKR1C1,-0.19794487084469403,CCRCC
AKR1C2,-0.1393129995801312,CCRCC
AKR1C3,0.17889467393506842,CCRCC
AKR1C4,-0.08625725474246322,CCRCC
AKR7A2,0.15413545688683528,CCRCC
AKR7A3,0.07587049616217034,CCRCC
AKT1,0.11614043505764055,CCRCC
AKT2,0.1988640499231966,CCRCC
AKT3,0.28854424478758234,CCRCC
AKTIP,0.17642105762938576,CCRCC
ALAD,-0.5717532269088581,CCRCC
ALAS1,0.17370820571590295,CCRCC
ALB,-0.0993311335866771,CCRCC
ALCAM,0.004193577001737503,CCRCC
ALDH16A1,-0.15459378918809097,CCRCC
ALDH18A1,0.709603525912041,CCRCC
ALDH1A1,0.14737919835321495,CCRCC
ALDH1A2,-0.05248822447507584,CCRCC
ALDH1A3,-0.04890041727025707,CCRCC
ALDH1B1,-0.02514699980673063,CCRCC
ALDH1L1,0.12616051705424747,CCRCC
ALDH1L2,0.10753999950084048,CCRCC
ALDH2,-0.16881666851203714,CCRCC
ALDH3A1,0.3118773578311584,CCRCC
ALDH3A2,-0.1214270970577328,CCRCC
ALDH3B1,0.11724103003106423,CCRCC
ALDH5A1,-0.19476687732926434,CCRCC
ALDH6A1,-0.3499954047549252,CCRCC
ALDH8A1,0.2353316621285685,CCRCC
ALDH9A1,0.05434466614337319,CCRCC
ALDOB,-0.3284821557757733,CCRCC
ALDOC,0.3449571219755912,CCRCC
ALG1,0.05337445016867581,CCRCC
ALG10B,0.036121691988195447,CCRCC
ALG11,0.17050243472465676,CCRCC
ALG12,-0.18304374697953013,CCRCC
ALG13,0.41860487629602766,CCRCC
ALG14,-0.2434192822434963,CCRCC
ALG2,0.5285064431694277,CCRCC
ALG3,0.44927815183027764,CCRCC
ALG5,0.10567446785622531,CCRCC
ALG6,0.26184646548755935,CCRCC
ALG8,0.13900484000638824,CCRCC
ALG9,0.1707818270748423,CCRCC
ALKBH1,0.17116923851662696,CCRCC
ALKBH2,0.06646676414208036,CCRCC
ALKBH3,-0.11038851605231709,CCRCC
ALKBH4,0.2758996955454418,CCRCC
ALKBH5,0.05626486489868793,CCRCC
ALKBH6,0.09461900834445736,CCRCC
ALKBH7,-0.13067079283158123,CCRCC
ALKBH8,0.17888890632285648,CCRCC
ALMS1,0.1825871337666493,CCRCC
ALOX5,-0.027513772758379296,CCRCC
ALOX5AP,0.1195111339843381,CCRCC
ALPI,0.23182763488881475,CCRCC
ALPK1,0.5239985375772074,CCRCC
ALPK2,0.09368229337387046,CCRCC
ALPL,0.08654091294376587,CCRCC
ALS2,-0.13455635959500606,CCRCC
ALS2CL,-0.1871271054870165,CCRCC
ALYREF,-0.014173112619793093,CCRCC
AMACR,0.22445160489280558,CCRCC
AMBP,-0.30727341718339146,CCRCC
AMBRA1,0.000544233229113433,CCRCC
AMDHD1,0.10875194297951163,CCRCC
AMDHD2,-0.030527224961242216,CCRCC
AMFR,0.2942563851506902,CCRCC
AMN,-0.23023446919234913,CCRCC
AMN1,-0.44600426142378263,CCRCC
AMOT,-0.19713021481427445,CCRCC
AMOTL1,0.2252151948272304,CCRCC
AMOTL2,0.36520020332130454,CCRCC
AMPD2,-0.05454367810261751,CCRCC
AMPD3,0.11845645750839873,CCRCC
AMPH,-0.3051439681345694,CCRCC
AMT,-0.2981939393746825,CCRCC
AMZ2,0.13608346233535995,CCRCC
ANAPC1,0.000940351300185549,CCRCC
ANAPC10,0.060715438960748006,CCRCC
ANAPC11,0.010919023516333875,CCRCC
ANAPC13,0.08212048513001474,CCRCC
ANAPC16,0.07030736166265172,CCRCC
ANAPC2,-0.03821425375467302,CCRCC
ANAPC4,0.21165393614350397,CCRCC
ANAPC5,0.3307359643353297,CCRCC
ANAPC7,-0.1299752384480699,CCRCC
ANG,0.03643592516214054,CCRCC
ANGEL1,0.491332043450641,CCRCC
ANGEL2,-0.03497888636976665,CCRCC
ANGPT2,0.43292565428383445,CCRCC
ANGPTL2,-0.16735062977292886,CCRCC
ANGPTL3,-0.07396879450460547,CCRCC
ANGPTL4,0.03738364107270431,CCRCC
ANGPTL6,0.38725465400640546,CCRCC
ANGPTL8,-0.04365436257318467,CCRCC
ANK1,0.061709289561543534,CCRCC
ANK2,0.4402350255113139,CCRCC
ANK3,0.0036399657135754437,CCRCC
ANKFY1,0.19330409901883572,CCRCC
ANKHD1,0.2995431237692013,CCRCC
ANKIB1,-0.040027178984803014,CCRCC
ANKLE2,0.440046116603624,CCRCC
ANKMY2,0.1620467253602732,CCRCC
ANKRD10,0.10253072911129568,CCRCC
ANKRD11,0.0497433539334628,CCRCC
ANKRD13A,0.3137636486248475,CCRCC
ANKRD13D,0.12150701922509538,CCRCC
ANKRD16,0.04583007333860423,CCRCC
ANKRD17,0.4342533548788818,CCRCC
ANKRD2,-0.1311471456754425,CCRCC
ANKRD22,0.2076334386912424,CCRCC
ANKRD26,0.15907064539688717,CCRCC
ANKRD27,0.0015996941110932306,CCRCC
ANKRD28,0.11324195656535149,CCRCC
ANKRD31,0.6704368780056884,CCRCC
ANKRD36,-0.45395854618783066,CCRCC
ANKRD39,0.3214027256615249,CCRCC
ANKRD40,0.6309546478852464,CCRCC
ANKRD44,-0.01673321726617749,CCRCC
ANKRD46,-0.5883429939073401,CCRCC
ANKRD49,0.2208307962599965,CCRCC
ANKRD50,0.004272520784934342,CCRCC
ANKRD52,0.30273455982722736,CCRCC
ANKRD54,-0.3067975565501434,CCRCC
ANKRD6,0.28330110190102786,CCRCC
ANKS1A,0.17002086892583446,CCRCC
ANKS3,0.09108769747048495,CCRCC
ANKS4B,0.02132563187256098,CCRCC
ANKS6,0.1936276474183749,CCRCC
ANKZF1,0.5642549029061981,CCRCC
ANLN,0.14543715563636817,CCRCC
ANO1,0.14744353764899193,CCRCC
ANO10,0.1587750424054296,CCRCC
ANO5,0.373543798185458,CCRCC
ANP32A,0.5438689490783236,CCRCC
ANP32B,-0.030905565771327526,CCRCC
ANP32E,0.0982670684956296,CCRCC
ANPEP,-0.148966962190764,CCRCC
ANTXR1,0.03288948596020447,CCRCC
ANTXR2,0.22123515478862382,CCRCC
ANXA1,0.01361964448632047,CCRCC
ANXA11,0.2580905205720995,CCRCC
ANXA13,0.14564834363386536,CCRCC
ANXA2,-0.2765412092389242,CCRCC
ANXA3,-0.06947003055702172,CCRCC
ANXA4,0.7128820999610033,CCRCC
ANXA5,-0.2293493080013792,CCRCC
ANXA6,0.16883693360230345,CCRCC
ANXA7,0.4271367265621262,CCRCC
ANXA8,0.3188947178280483,CCRCC
ANXA8L1,0.4116340906535216,CCRCC
ANXA9,0.553257902293118,CCRCC
AOAH,0.22278761124662755,CCRCC
AOC1,-0.07221630001657309,CCRCC
AOC3,0.1970586694560914,CCRCC
AOX1,0.09523643452599972,CCRCC
AP1AR,0.11228036660545121,CCRCC
AP1B1,-0.08851001266858273,CCRCC
AP1G1,0.18749593135328063,CCRCC
AP1G2,-0.11857007526088381,CCRCC
AP1M2,-0.23967333428027393,CCRCC
AP1S1,0.20371173480908997,CCRCC
AP1S2,0.16737977541889892,CCRCC
AP1S3,0.39911595834737623,CCRCC
AP2A1,0.07188852328529793,CCRCC
AP2A2,-0.050615091957707435,CCRCC
AP2B1,0.001801663918379992,CCRCC
AP2M1,0.23256544412883481,CCRCC
AP2S1,-0.11547891847411117,CCRCC
AP3B1,0.37953800360950013,CCRCC
AP3B2,0.1162551250854506,CCRCC
AP3D1,-0.34450755040539416,CCRCC
AP3M1,0.5389757684051356,CCRCC
AP3M2,0.2244351431571504,CCRCC
AP3S1,0.31796411892624465,CCRCC
AP3S2,0.4434881216433839,CCRCC
AP4B1,-0.2529524406280545,CCRCC
AP4E1,0.004577244588353069,CCRCC
AP4M1,-0.0751456866131751,CCRCC
AP4S1,0.6088705848854234,CCRCC
AP5B1,0.06671639322239747,CCRCC
AP5M1,0.3368782174146424,CCRCC
AP5S1,0.262349289673003,CCRCC
AP5Z1,-0.16580274645483054,CCRCC
APAF1,-0.282109598475636,CCRCC
APBA1,0.07695295041139172,CCRCC
APBA3,0.1375737096324307,CCRCC
APBB1,0.27785757781489695,CCRCC
APBB1IP,-0.09954817202889432,CCRCC
APBB2,0.41417913165193165,CCRCC
APC,0.2856900570844858,CCRCC
APCS,-0.1214276678200692,CCRCC
APEH,-0.03631124189076168,CCRCC
APEX1,0.470903338209241,CCRCC
APEX2,0.2955208719399935,CCRCC
APH1A,0.023384967119046363,CCRCC
API5,0.0842738748918927,CCRCC
APIP,-0.055866862880351364,CCRCC
APLF,-0.03915516855949913,CCRCC
APLP2,0.47354096870287243,CCRCC
APMAP,-0.15930873780731347,CCRCC
APOA1,0.02820448324530977,CCRCC
APOA2,-0.046108399303242405,CCRCC
APOA4,-0.09589752729020823,CCRCC
APOA5,0.0585735334249336,CCRCC
APOB,0.21163394537285096,CCRCC
APOBEC3B,-0.2840991869039915,CCRCC
APOBEC3C,0.1395615779793431,CCRCC
APOBEC3F,-0.12777402684093986,CCRCC
APOBEC3G,0.13519711561478043,CCRCC
APOBR,-0.09542347910310789,CCRCC
APOC1,-0.021314592999109466,CCRCC
APOC2,-0.020370353063981807,CCRCC
APOC3,-0.2631211094245402,CCRCC
APOC4,-0.221206275093196,CCRCC
APOD,-0.14387181777897295,CCRCC
APOE,0.506586878605167,CCRCC
APOF,0.06291873693973506,CCRCC
APOH,-0.02890322324007623,CCRCC
APOL1,0.2971860716109882,CCRCC
APOL2,0.36960410004833266,CCRCC
APOL3,0.5207314000240828,CCRCC
APOL6,0.23780297478084228,CCRCC
APOM,-0.23202772543850086,CCRCC
APOO,0.18973619644750706,CCRCC
APOOL,-0.34873198617418516,CCRCC
APOPT1,0.1757850990856862,CCRCC
APP,-0.24668876534601647,CCRCC
APPBP2,-0.04094958365775586,CCRCC
APPL1,0.7560324228853794,CCRCC
APPL2,0.03568815824556759,CCRCC
APRT,0.20785594374811206,CCRCC
APTX,0.33102586394326,CCRCC
AQP1,-0.016731251762988952,CCRCC
AQP2,-0.6683690382771268,CCRCC
AQP3,-0.1770277500467516,CCRCC
AQP7,-0.4818368660809396,CCRCC
AQR,-0.08554942603095628,CCRCC
ARAF,0.12862170875368328,CCRCC
ARAP1,0.40218921443567784,CCRCC
ARAP2,0.2564644562046432,CCRCC
ARAP3,0.577917267105126,CCRCC
ARCN1,0.15372312350029496,CCRCC
ARF1,0.04244387438746021,CCRCC
ARF3,0.14506593178281155,CCRCC
ARF4,0.2808423596997449,CCRCC
ARF5,0.3053663043126976,CCRCC
ARF6,0.6069564923608938,CCRCC
ARFGAP2,-0.25444645742255284,CCRCC
ARFGAP3,0.047832792157808335,CCRCC
ARFGEF1,0.2992377657569734,CCRCC
ARFGEF2,0.11161584431787297,CCRCC
ARFGEF3,-0.25068632413353,CCRCC
ARFIP1,0.003784543491539616,CCRCC
ARFIP2,0.41363827187182156,CCRCC
ARFRP1,-0.03011721357186148,CCRCC
ARG1,0.2006659088148146,CCRCC
ARG2,0.2890335199427186,CCRCC
ARGLU1,-0.07674856683299885,CCRCC
ARHGAP1,-0.12556403092732038,CCRCC
ARHGAP10,0.24140084356307007,CCRCC
ARHGAP12,0.5006644038148643,CCRCC
ARHGAP15,-0.16154830733881753,CCRCC
ARHGAP17,0.007281197262726469,CCRCC
ARHGAP18,-0.08151893504444419,CCRCC
ARHGAP21,0.21895906681925859,CCRCC
ARHGAP22,-0.05585679447161784,CCRCC
ARHGAP23,0.27633011363419435,CCRCC
ARHGAP24,0.2849712902303552,CCRCC
ARHGAP26,0.2226591273214097,CCRCC
ARHGAP27,-0.13188876755004397,CCRCC
ARHGAP28,-0.11113146465274493,CCRCC
ARHGAP29,-0.009558620494512504,CCRCC
ARHGAP30,-0.06848369714564884,CCRCC
ARHGAP31,0.7140176820148747,CCRCC
ARHGAP32,0.26076317567737317,CCRCC
ARHGAP35,-0.09341289561692967,CCRCC
ARHGAP4,0.037072026706605365,CCRCC
ARHGAP42,0.6643340378290256,CCRCC
ARHGAP44,0.05462794165848234,CCRCC
ARHGAP45,-0.19142500199730728,CCRCC
ARHGAP5,0.6084023724245468,CCRCC
ARHGAP6,0.13157557502143158,CCRCC
ARHGAP8,0.5827505509975416,CCRCC
ARHGAP9,0.06079194177914782,CCRCC
ARHGDIA,0.10641087439592078,CCRCC
ARHGDIB,-0.041749235926173744,CCRCC
ARHGEF1,-0.11079261577144872,CCRCC
ARHGEF10,0.16948790027963334,CCRCC
ARHGEF10L,0.1026527796724177,CCRCC
ARHGEF12,0.2000907434902576,CCRCC
ARHGEF15,0.3567338041470931,CCRCC
ARHGEF16,0.19829472614787902,CCRCC
ARHGEF17,0.4801587319190251,CCRCC
ARHGEF18,-0.004428445310119655,CCRCC
ARHGEF2,-0.05611440563043579,CCRCC
ARHGEF28,0.2777808824777039,CCRCC
ARHGEF35,-0.043427737054609894,CCRCC
ARHGEF37,0.3228665364167815,CCRCC
ARHGEF40,-0.010321590241033185,CCRCC
ARHGEF5,0.4186427664741839,CCRCC
ARHGEF6,-0.07457740777705579,CCRCC
ARHGEF7,0.41018332061897433,CCRCC
ARHGEF9,0.2534323016570938,CCRCC
ARID1A,0.10476008305276924,CCRCC
ARID1B,0.5497737087572898,CCRCC
ARID2,-0.08606529120903339,CCRCC
ARID3A,0.5099812023539517,CCRCC
ARID4A,0.4807371801048234,CCRCC
ARID4B,-0.041146581135067084,CCRCC
ARID5B,0.08489646185440614,CCRCC
ARIH1,0.054609325041531126,CCRCC
ARIH2,0.36935396972416584,CCRCC
ARL1,0.23529593823629874,CCRCC
ARL13B,-0.03685119944140683,CCRCC
ARL14EP,0.25271508947983007,CCRCC
ARL15,0.251917069181822,CCRCC
ARL2,0.2567757244322613,CCRCC
ARL2BP,0.4425599008331038,CCRCC
ARL3,0.4019812212590565,CCRCC
ARL4C,0.011934595270239434,CCRCC
ARL5A,0.24164532767899666,CCRCC
ARL5B,0.246804108562382,CCRCC
ARL6,0.4443638615972579,CCRCC
ARL6IP1,0.3957096092315614,CCRCC
ARL6IP4,0.021301541952047753,CCRCC
ARL6IP5,-0.09422962866526519,CCRCC
ARL6IP6,-0.036350120544181685,CCRCC
ARL8A,0.09596076615372162,CCRCC
ARL8B,0.4351093419686601,CCRCC
ARMC1,0.03294740088326081,CCRCC
ARMC10,0.29898627717154985,CCRCC
ARMC5,-0.2377626737398249,CCRCC
ARMC6,0.222442842102769,CCRCC
ARMC7,0.1190260763861993,CCRCC
ARMC8,0.6190101342794259,CCRCC
ARMC9,0.2036661065477584,CCRCC
ARMCX1,-0.08943714075203102,CCRCC
ARMCX2,0.1473187383990508,CCRCC
ARMCX3,0.18871028199994178,CCRCC
ARMCX5,-0.24422534162951928,CCRCC
ARMCX6,-0.23617217038212474,CCRCC
